(-737214.7225016794, (11, 11, 11), (1, 9, 1, 9, 1, 9))
(-617935.9420507362, (11, 11, 11), (1, 9, 1, 9, 2, 8))
(-617935.9420507362, (11, 11, 11), (1, 9, 2, 8, 1, 9))
(-617935.9420507362, (11, 11, 11), (2, 8, 1, 9, 1, 9))
(-557548.9978359605, (11, 11, 11), (1, 9, 3, 7, 1, 9))
(-557548.9978359604, (11, 11, 11), (1, 9, 1, 9, 3, 7))
(-557548.9978359604, (11, 11, 11), (3, 7, 1, 9, 1, 9))
(-529488.102560506, (11, 11, 11), (1, 9, 1, 9, 4, 6))
(-529488.102560506, (11, 11, 11), (1, 9, 4, 6, 1, 9))
(-529488.102560506, (11, 11, 11), (4, 6, 1, 9, 1, 9))
(-521333.75370703347, (11, 11, 11), (1, 9, 1, 9, 5, 5))
(-521333.75370703347, (11, 11, 11), (1, 9, 5, 5, 1, 9))
(-521333.7537070334, (11, 11, 11), (5, 5, 1, 9, 1, 9))
(-517912.3586093624, (11, 11, 11), (2, 8, 2, 8, 1, 9))
(-517912.35860936233, (11, 11, 11), (1, 9, 2, 8, 2, 8))
(-517912.35860936233, (11, 11, 11), (2, 8, 1, 9, 2, 8))
(-505071.95828906307, (10, 11, 11), (0, 9, 1, 9, 1, 9))
(-505071.958289063, (11, 10, 11), (1, 9, 0, 9, 1, 9))
(-505071.958289063, (11, 11, 10), (1, 9, 1, 9, 0, 9))
(-467299.64654161996, (11, 11, 11), (1, 9, 2, 8, 3, 7))
(-467299.64654161996, (11, 11, 11), (1, 9, 3, 7, 2, 8))
(-467299.64654161996, (11, 11, 11), (2, 8, 1, 9, 3, 7))
(-467299.64654161996, (11, 11, 11), (2, 8, 3, 7, 1, 9))
(-467299.64654161996, (11, 11, 11), (3, 7, 1, 9, 2, 8))
(-467299.64654161996, (11, 11, 11), (3, 7, 2, 8, 1, 9))
(-443746.88691610016, (11, 11, 11), (1, 9, 2, 8, 4, 6))
(-443746.88691610016, (11, 11, 11), (1, 9, 4, 6, 2, 8))
(-443746.88691610016, (11, 11, 11), (2, 8, 1, 9, 4, 6))
(-443746.88691610016, (11, 11, 11), (2, 8, 4, 6, 1, 9))
(-443746.88691610016, (11, 11, 11), (4, 6, 1, 9, 2, 8))
(-443746.88691610016, (11, 11, 11), (4, 6, 2, 8, 1, 9))
(-436911.76939797506, (11, 11, 11), (1, 9, 2, 8, 5, 5))
(-436911.76939797506, (11, 11, 11), (1, 9, 5, 5, 2, 8))
(-436911.76939797506, (11, 11, 11), (2, 8, 1, 9, 5, 5))
(-436911.76939797506, (11, 11, 11), (2, 8, 5, 5, 1, 9))
(-436911.76939797506, (11, 11, 11), (5, 5, 1, 9, 2, 8))
(-436911.76939797506, (11, 11, 11), (5, 5, 2, 8, 1, 9))
(-434033.4864789025, (11, 11, 11), (2, 8, 2, 8, 2, 8))
(-423253.98488953017, (11, 11, 10), (1, 9, 2, 8, 0, 9))
(-423253.9848895301, (11, 11, 10), (2, 8, 1, 9, 0, 9))
(-423253.98488953005, (10, 11, 11), (0, 9, 1, 9, 2, 8))
(-423253.98488953005, (10, 11, 11), (0, 9, 2, 8, 1, 9))
(-423253.98488953005, (11, 10, 11), (1, 9, 0, 9, 2, 8))
(-423253.98488953005, (11, 10, 11), (2, 8, 0, 9, 1, 9))
(-421619.65666286263, (11, 11, 11), (3, 7, 1, 9, 3, 7))
(-421619.65666286263, (11, 11, 11), (3, 7, 3, 7, 1, 9))
(-421619.6566628626, (11, 11, 11), (1, 9, 3, 7, 3, 7))
(-400403.42270824924, (11, 11, 11), (1, 9, 3, 7, 4, 6))
(-400403.42270824924, (11, 11, 11), (1, 9, 4, 6, 3, 7))
(-400403.42270824924, (11, 11, 11), (3, 7, 1, 9, 4, 6))
(-400403.42270824924, (11, 11, 11), (3, 7, 4, 6, 1, 9))
(-400403.42270824924, (11, 11, 11), (4, 6, 3, 7, 1, 9))
(-400403.4227082492, (11, 11, 11), (4, 6, 1, 9, 3, 7))
(-394219.3677786856, (11, 11, 11), (1, 9, 5, 5, 3, 7))
(-394219.3677786856, (11, 11, 11), (3, 7, 1, 9, 5, 5))
(-394219.3677786856, (11, 11, 11), (5, 5, 1, 9, 3, 7))
(-394219.3677786855, (11, 11, 11), (1, 9, 3, 7, 5, 5))
(-394219.3677786855, (11, 11, 11), (3, 7, 5, 5, 1, 9))
(-394219.3677786855, (11, 11, 11), (5, 5, 3, 7, 1, 9))
(-391622.98233064206, (11, 11, 11), (2, 8, 2, 8, 3, 7))
(-391622.98233064206, (11, 11, 11), (2, 8, 3, 7, 2, 8))
(-391622.98233064206, (11, 11, 11), (3, 7, 2, 8, 2, 8))
(-385197.86133774463, (10, 11, 11), (1, 8, 1, 9, 1, 9))
(-385197.86133774463, (11, 10, 11), (1, 9, 1, 8, 1, 9))
(-385197.86133774463, (11, 11, 10), (1, 9, 1, 9, 1, 8))
(-381857.6830915225, (10, 11, 11), (0, 9, 1, 9, 3, 7))
(-381857.6830915225, (10, 11, 11), (0, 9, 3, 7, 1, 9))
(-381857.6830915225, (11, 10, 11), (1, 9, 0, 9, 3, 7))
(-381857.6830915225, (11, 11, 10), (1, 9, 3, 7, 0, 9))
(-381857.6830915224, (11, 10, 11), (3, 7, 0, 9, 1, 9))
(-381857.6830915224, (11, 11, 10), (3, 7, 1, 9, 0, 9))
(-380262.83788124775, (11, 11, 11), (1, 9, 4, 6, 4, 6))
(-380262.83788124775, (11, 11, 11), (4, 6, 1, 9, 4, 6))
(-380262.83788124775, (11, 11, 11), (4, 6, 4, 6, 1, 9))
(-374445.01469868165, (11, 11, 11), (1, 9, 4, 6, 5, 5))
(-374445.01469868165, (11, 11, 11), (4, 6, 5, 5, 1, 9))
(-374445.01469868165, (11, 11, 11), (5, 5, 1, 9, 4, 6))
(-374445.01469868165, (11, 11, 11), (5, 5, 4, 6, 1, 9))
(-374445.0146986816, (11, 11, 11), (1, 9, 5, 5, 4, 6))
(-374445.0146986816, (11, 11, 11), (4, 6, 1, 9, 5, 5))
(-371852.37565212173, (11, 11, 11), (2, 8, 2, 8, 4, 6))
(-371852.37565212173, (11, 11, 11), (2, 8, 4, 6, 2, 8))
(-371852.37565212173, (11, 11, 11), (4, 6, 2, 8, 2, 8))
(-368685.54630816844, (11, 11, 11), (5, 5, 5, 5, 1, 9))
(-368685.5463081684, (11, 11, 11), (1, 9, 5, 5, 5, 5))
(-368685.5463081684, (11, 11, 11), (5, 5, 1, 9, 5, 5))
(-366099.8288141037, (11, 11, 11), (2, 8, 2, 8, 5, 5))
(-366099.8288141037, (11, 11, 11), (2, 8, 5, 5, 2, 8))
(-366099.8288141037, (11, 11, 11), (5, 5, 2, 8, 2, 8))
(-362624.49918288743, (10, 11, 11), (0, 9, 1, 9, 4, 6))
(-362624.49918288743, (10, 11, 11), (0, 9, 4, 6, 1, 9))
(-362624.49918288743, (11, 10, 11), (1, 9, 0, 9, 4, 6))
(-362624.49918288743, (11, 10, 11), (4, 6, 0, 9, 1, 9))
(-362624.49918288743, (11, 11, 10), (1, 9, 4, 6, 0, 9))
(-362624.49918288743, (11, 11, 10), (4, 6, 1, 9, 0, 9))
(-357042.415898354, (11, 10, 11), (5, 5, 0, 9, 1, 9))
(-357042.41589835397, (10, 11, 11), (0, 9, 1, 9, 5, 5))
(-357042.41589835397, (10, 11, 11), (0, 9, 5, 5, 1, 9))
(-357042.41589835397, (11, 10, 11), (1, 9, 0, 9, 5, 5))
(-357042.41589835397, (11, 11, 10), (1, 9, 5, 5, 0, 9))
(-357042.41589835397, (11, 11, 10), (5, 5, 1, 9, 0, 9))
(-354633.64943983365, (11, 10, 11), (2, 8, 0, 9, 2, 8))
(-354633.64943983365, (11, 11, 10), (2, 8, 2, 8, 0, 9))
(-354633.6494398336, (10, 11, 11), (0, 9, 2, 8, 2, 8))
(-353354.5191803779, (11, 11, 11), (2, 8, 3, 7, 3, 7))
(-353354.5191803779, (11, 11, 11), (3, 7, 2, 8, 3, 7))
(-353354.5191803778, (11, 11, 11), (3, 7, 3, 7, 2, 8))
(-345944.6228235685, (10, 10, 11), (0, 9, 0, 9, 1, 9))
(-345944.6228235685, (10, 11, 10), (0, 9, 1, 9, 0, 9))
(-345944.6228235685, (11, 10, 10), (1, 9, 0, 9, 0, 9))
(-335533.90307316626, (11, 11, 11), (2, 8, 3, 7, 4, 6))
(-335533.90307316626, (11, 11, 11), (2, 8, 4, 6, 3, 7))
(-335533.90307316626, (11, 11, 11), (3, 7, 2, 8, 4, 6))
(-335533.90307316626, (11, 11, 11), (3, 7, 4, 6, 2, 8))
(-335533.90307316626, (11, 11, 11), (4, 6, 2, 8, 3, 7))
(-335533.90307316626, (11, 11, 11), (4, 6, 3, 7, 2, 8))
(-330332.66962871957, (11, 11, 11), (2, 8, 3, 7, 5, 5))
(-330332.66962871957, (11, 11, 11), (2, 8, 5, 5, 3, 7))
(-330332.66962871957, (11, 11, 11), (3, 7, 2, 8, 5, 5))
(-330332.66962871957, (11, 11, 11), (3, 7, 5, 5, 2, 8))
(-330332.66962871957, (11, 11, 11), (5, 5, 2, 8, 3, 7))
(-330332.66962871957, (11, 11, 11), (5, 5, 3, 7, 2, 8))
(-323665.9383392393, (10, 11, 11), (2, 7, 1, 9, 1, 9))
(-323665.9383392393, (11, 10, 11), (1, 9, 2, 7, 1, 9))
(-323665.9383392393, (11, 11, 10), (1, 9, 1, 9, 2, 7))
(-322764.90095670463, (10, 11, 11), (1, 8, 1, 9, 2, 8))
(-322764.90095670463, (10, 11, 11), (1, 8, 2, 8, 1, 9))
(-322764.90095670463, (11, 10, 11), (1, 9, 1, 8, 2, 8))
(-322764.90095670463, (11, 10, 11), (2, 8, 1, 8, 1, 9))
(-322764.90095670463, (11, 11, 10), (1, 9, 2, 8, 1, 8))
(-322764.90095670463, (11, 11, 10), (2, 8, 1, 9, 1, 8))
(-319947.4354495964, (10, 11, 11), (0, 9, 2, 8, 3, 7))
(-319947.4354495963, (10, 11, 11), (0, 9, 3, 7, 2, 8))
(-319947.4354495963, (11, 10, 11), (2, 8, 0, 9, 3, 7))
(-319947.4354495963, (11, 10, 11), (3, 7, 0, 9, 2, 8))
(-319947.4354495963, (11, 11, 10), (2, 8, 3, 7, 0, 9))
(-319947.4354495963, (11, 11, 10), (3, 7, 2, 8, 0, 9))
(-318808.78199612035, (11, 11, 11), (3, 7, 3, 7, 3, 7))
(-318624.48841052287, (11, 11, 11), (4, 6, 4, 6, 2, 8))
(-318624.4884105228, (11, 11, 11), (2, 8, 4, 6, 4, 6))
(-318624.4884105228, (11, 11, 11), (4, 6, 2, 8, 4, 6))
(-313739.3614637065, (11, 11, 11), (2, 8, 4, 6, 5, 5))
(-313739.3614637065, (11, 11, 11), (2, 8, 5, 5, 4, 6))
(-313739.3614637065, (11, 11, 11), (4, 6, 2, 8, 5, 5))
(-313739.3614637065, (11, 11, 11), (4, 6, 5, 5, 2, 8))
(-313739.3614637065, (11, 11, 11), (5, 5, 2, 8, 4, 6))
