(-5580888352.729224, (14, 14, 14))
(-2907037495.950021, (13, 14, 14))
(-1515625984.9101388, (12, 14, 14))
(-1515479629.4689646, (13, 13, 14))
(-791005978.9057891, (11, 14, 14))
(-790782510.9055477, (12, 13, 14))
(-790705388.616164, (13, 13, 13))
(-413335066.3897541, (10, 14, 14))
(-413070919.03083426, (11, 13, 14))
(-412993806.4717673, (12, 12, 14))
(-412953112.16558933, (12, 13, 13))
(-216329738.66681722, (9, 14, 14))
(-216044104.42770204, (10, 13, 14))
(-215926312.50995663, (11, 12, 14))
(-215904807.88186213, (11, 13, 13))
(-215864123.3060009, (12, 12, 13))
(-113476749.52711423, (8, 14, 14))
(-113179751.06167698, (9, 13, 14))
(-113040472.26373622, (10, 12, 14))
(-113029088.78488627, (10, 13, 13))
(-112999792.90505782, (11, 11, 14))
(-112966914.52843009, (11, 12, 13))
(-112945419.63065231, (12, 12, 12))
(-59730983.81308134, (7, 14, 14))
(-59427966.83081019, (8, 13, 14))
(-59277323.80654735, (9, 12, 14))
(-59271285.22786158, (9, 13, 13))
(-59215157.56767358, (10, 11, 14))
(-59197745.24045461, (10, 12, 13))
(-59176255.55985965, (11, 11, 13))
(-59164881.811326444, (11, 12, 12))
(-31620103.595791616, (6, 14, 14))
(-31313894.81041111, (7, 13, 14))
(-31157233.269314382, (8, 12, 14))
(-31154020.967989516, (8, 13, 13))
(-31083702.80411853, (9, 11, 14))
(-31074461.65442464, (9, 12, 13))
(-31062215.92392317, (10, 10, 14))
(-31041606.24287889, (10, 11, 13))
(-31035577.39450987, (10, 12, 12))
(-31024208.86315948, (11, 11, 12))
(-16902977.982860677, (5, 14, 14))
(-16595089.831396982, (6, 13, 14))
(-16435236.487190897, (7, 12, 14))
(-16433520.671377044, (7, 13, 13))
(-16355687.505161153, (8, 11, 14))
(-16350769.118339177, (8, 12, 13))
(-16322836.39864371, (9, 10, 14))
(-16311894.380635528, (9, 11, 13))
(-16308691.809627406, (9, 12, 12))
(-16300528.64968474, (10, 10, 13))
(-16291302.447490413, (10, 11, 12))
(-16285278.816304207, (11, 11, 11))
(-9190319.106321737, (4, 14, 14))
(-8881513.58896901, (5, 13, 14))
(-8719980.878679734, (6, 12, 14))
(-8719058.529726708, (6, 13, 13))
(-8637240.093540635, (7, 11, 14))
(-8634611.659090497, (7, 12, 13))
(-8598370.4701893, (8, 10, 14))
(-8592544.681913856, (8, 11, 13))
(-8590838.596416745, (8, 12, 12))
(-8587006.243867217, (9, 9, 14))
(-8575159.62480517, (9, 10, 13))
(-8570256.185482752, (9, 11, 12))
(-8564235.354696147, (10, 10, 12))
(-8561038.000870842, (10, 11, 11))
(-5144234.567841847, (3, 14, 14))
(-4834944.990703294, (4, 13, 14))
(-4672494.9145249855, (5, 12, 14))
(-4671993.871675162, (5, 13, 13))
(-4588074.763302694, (6, 11, 14))
(-4586661.101816587, (6, 12, 13))
(-4546013.336842005, (7, 10, 14))
(-4542898.807041604, (7, 11, 13))
(-4541986.18840532, (7, 12, 12))
(-4528630.59368603, (8, 9, 14))
(-4522321.510459925, (8, 10, 13))
(-4519708.023509347, (8, 11, 12))
(-4516302.184302025, (9, 9, 13))
(-4510494.143925742, (9, 10, 12))
(-4508793.275611447, (9, 11, 11))
(-4505598.722185743, (10, 10, 11))
(-3019365.785310048, (2, 14, 14))
(-2709820.1704300814, (3, 13, 14))
(-2546886.034465945, (4, 12, 14))
(-2546609.013660538, (4, 13, 13))
(-2461548.517354623, (5, 11, 14))
(-2460780.184016135, (5, 12, 13))
(-2417807.724810742, (6, 10, 14))
(-2416131.9900187873, (6, 11, 13))
(-2415640.6774857063, (6, 12, 12))
(-2397233.178545413, (7, 9, 14))
(-2393859.3758387645, (7, 10, 13))
(-2392460.6618522173, (7, 11, 12))
(-2391214.6617115224, (8, 8, 14))
(-2384647.8102078736, (8, 9, 13))
