(-713985896.96, 3276, -217944.41299145302, (0, 1, 24))
(-596549971.36, 3276, -182097.06085470086, (0, 2, 23))
(-542534870.6400001, 3276, -165608.9348717949, (1, 1, 23))
(-535431154.4278261, 3276, -163440.52332961725, (0, 3, 22))
(-503659550.30197626, 3276, -153742.23147190973, (0, 4, 21))
(-487171705.3438735, 3276, -148709.31176552916, (0, 5, 20))
(-478635960.50909096, 3276, -146103.77304917306, (0, 6, 19))
(-474231948.8421053, 3276, -144759.4471434998, (0, 7, 18))
(-471970720.9301436, 3276, -144069.20663313297, (0, 8, 17))
(-470818585.87627363, 3276, -143717.51705624958, (0, 9, 16))
(-470240498.07486635, 3276, -143541.05557840853, (0, 10, 15))
(-469962808.9882353, 3276, -143456.29089994973, (0, 11, 14))
(-469851349.6, 3276, -143422.2678876679, (0, 12, 13))
(-453257499.3739131, 3276, -138356.99004087702, (1, 2, 22))
(-436143266.0, 2925, -149108.8088888889, (0, 0, 24))
(-406812288.8449012, 3276, -124179.57534948144, (1, 3, 21))
(-382682564.30292493, 3276, -116813.9695674374, (1, 4, 20))
(-378653734.5109882, 3276, -115584.16804364718, (2, 2, 21))
(-370170769.4064822, 3276, -112994.74035606906, (1, 5, 19))
(-363700891.1555981, 3276, -111019.80804505436, (1, 6, 18))
(-360368271.36612445, 3276, -110002.52483703432, (1, 7, 17))
(-358661589.8832086, 3276, -109481.55979340921, (1, 8, 16))
(-357796478.45557, 3276, -109217.484266047, (1, 9, 15))
(-357368590.01155084, 3276, -109086.87118789708, (1, 10, 14))
(-357174015.77411765, 3276, -109027.47734252676, (1, 11, 13))
(-357118286.08000004, 3276, -109010.46583638585, (1, 12, 12))
(-339850403.56584984, 3276, -103739.43942791509, (2, 3, 20))
(-331303216.00000006, 2925, -113266.05675213676, (0, 1, 23))
(-319696729.0855336, 3276, -97587.52414088328, (2, 4, 19))
(-309250800.77298945, 3276, -94398.90133485636, (2, 5, 18))
(-305023122.68237156, 3276, -93108.40130719522, (3, 3, 19))
(-303852314.39961725, 3276, -92751.01172149488, (2, 6, 17))
(-301074241.03918946, 3276, -91903.00398021656, (2, 7, 16))
(-299654583.18250495, 3276, -91469.65298611262, (2, 8, 15))
(-298939671.1122545, 3276, -91251.42585844154, (2, 9, 14))
(-298594897.5174332, 3276, -91146.1836133801, (2, 10, 13))
(-298456052.9741177, 3276, -91103.8012741507, (2, 11, 12))
(-286935314.7859538, 3276, -87587.09242550483, (3, 4, 18))
(-277560778.3509216, 3276, -84725.51231713113, (3, 5, 17))
(-276735768.73913044, 2925, -94610.51922705314, (0, 2, 22))
(-272716838.4065953, 3276, -83246.89817051138, (3, 6, 16))
(-270225788.67239887, 3276, -82486.50447875423, (3, 7, 15))
(-269918898.7670481, 3276, -82392.82624146767, (4, 4, 17))
(-268956330.1731025, 3276, -82099.00188434141, (3, 8, 14))
(-268324532.95204982, 3276, -81906.1455897588, (3, 9, 13))
(-268035489.0513462, 3276, -81817.91485083828, (3, 10, 12))
(-267952374.20214838, 3276, -81792.54401774981, (3, 11, 11))
(-261098908.7610617, 3276, -79700.52159983569, (4, 5, 16))
(-256541992.4429668, 3276, -78309.52150273712, (4, 6, 15))
(-254201142.0661584, 3276, -77594.97621067107, (4, 7, 14))
(-253014798.4160599, 3276, -77232.84444934674, (4, 8, 13))
(-252565942.38130668, 3276, -77095.83100772488, (5, 5, 15))
(-252438730.88912496, 3276, -77056.99966090506, (4, 9, 12))
(-252205416.682539, 3276, -76985.78042812545, (4, 10, 11))
(-251599467.36956522, 2925, -86016.91192121888, (1, 1, 22))
(-248369435.05533597, 2925, -84912.62736934563, (0, 3, 21))
(-248159225.4205999, 3276, -75750.67931031743, (5, 6, 14))
(-245901489.8929894, 3276, -75061.50485133987, (5, 7, 13))
(-244770875.93700853, 3276, -74716.38459615645, (5, 8, 12))
(-244250538.1041912, 3276, -74557.55131385569, (5, 9, 11))
(-244100338.7468031, 3276, -74511.70291416456, (5, 10, 10))
(-243835623.3090909, 3276, -74430.89844599845, (6, 6, 13))
(-241633617.47559813, 3276, -73758.73549316182, (6, 7, 12))
(-240558733.2137349, 3276, -73430.62674411932, (6, 8, 11))
(-240121510.2301154, 3276, -73297.16429490702, (6, 9, 10))
(-239487341.33622295, 3276, -73103.5840464661, (7, 7, 11))
(-238495571.9235576, 3276, -72800.84613051209, (7, 8, 10))
(-238208548.29732624, 3276, -72713.23208099091, (7, 9, 9))
(-237654001.86828038, 3276, -72543.9566142492, (8, 8, 9))
(-233648813.48560134, 2925, -79879.93623439362, (0, 4, 20))
(-226028058.45454547, 2925, -77274.5498989899, (0, 5, 19))
(-222096128.037594, 2925, -75930.30018379282, (0, 6, 18))
(-220076971.94736844, 2925, -75239.99040935673, (0, 7, 17))
(-219047145.38952997, 2925, -74887.91295368546, (0, 8, 16))
(-218527853.7486631, 2925, -74710.3773499703, (0, 9, 15))
(-218272586.15508023, 2925, -74623.1063778052, (0, 10, 14))
(-218157210.14285713, 2925, -74583.66158730158, (0, 11, 13))
(-218124295.85714287, 2925, -74572.40884004884, (0, 12, 12))
(-210132576.8972332, 2925, -71840.19722982332, (1, 2, 21))
(-201269392.00000003, 2600, -77411.30461538462, (0, 0, 23))
(-188589099.27046868, 2925, -64474.905733493564, (1, 3, 20))
(-177418410.9700734, 2925, -60655.866998315694, (1, 4, 19))
(-175488542.48193112, 2925, -59996.08289980551, (2, 2, 20))
(-171642068.24606973, 2925, -58681.04897301529, (1, 5, 18))
(-168666524.9924812, 2925, -57663.769228198704, (1, 6, 17))
(-167142033.6684492, 2925, -57142.575613145025, (1, 7, 16))
(-166367474.56909654, 2925, -56877.76908345181, (1, 8, 15))
(-165980194.95187166, 2925, -56745.36579551168, (1, 9, 14))
(-165794873.1489687, 2925, -56682.00791417733, (1, 10, 13))
(-165720728.0, 2925, -56656.65914529915, (1, 11, 12))
(-157494998.1245059, 2925, -53844.44380324989, (2, 3, 19))
(-152776954.43478262, 2600, -58760.367090301006, (0, 1, 22))
(-148168722.13116288, 2925, -50655.973378175346, (2, 4, 18))
(-143348766.57052216, 2925, -49008.12532325544, (2, 5, 17))
(-141345866.07413298, 2925, -48323.373016797595, (3, 3, 18))
(-140867888.0831272, 2925, -48159.961737821264, (2, 6, 16))
(-139598664.21758097, 2925, -47726.03904874563, (2, 7, 15))
(-138956117.14187032, 2925, -47506.36483482746, (2, 8, 14))
(-138638783.31532535, 2925, -47397.874637718065, (2, 9, 13))
(-138494692.37567675, 2925, -47348.61277800915, (2, 10, 12))
(-138453461.51242235, 2925, -47334.51675638371, (2, 11, 11))
(-132975977.24415287, 2925, -45461.87256210355, (3, 4, 17))
(-128650686.4497057, 2925, -43983.140666566054, (3, 5, 16))
(-127565035.6047431, 2600, -49063.4752325935, (0, 2, 21))
(-126425075.42079654, 2925, -43222.24800710993, (3, 6, 15))
(-125287863.57889229, 2925, -42833.45763380933, (3, 7, 14))
(-125100753.18036634, 2925, -42769.48826679191, (4, 4, 16))
(-124715262.29386154, 2925, -42637.69651072189, (3, 8, 13))
(-124439159.33057097, 2925, -42543.30233523794, (3, 9, 12))
(-124327982.67663667, 2925, -42505.293222781766, (3, 10, 11))
(-121030729.84440495, 2925, -41378.02729723246, (4, 5, 15))
(-118937130.83913778, 2925, -40662.26695355138, (4, 6, 14))
(-117869864.78791346, 2925, -40297.389671081524, (4, 7, 13))
(-117338494.36613709, 2925, -40115.72456961952, (4, 8, 12))
(-117095305.6885608, 2925, -40032.583141388306, (4, 9, 11))
(-117092718.53208557, 2925, -40031.69864344806, (5, 5, 14))
(-117025359.8978809, 2925, -40008.67005055757, (4, 10, 10))
(-115924776.23715416, 2600, -44586.45239890544, (1, 1, 21))
