(-916020.2743576828, (11, 11, 11), (1, 9, 1, 9, 1, 9))
(-769032.2211552213, (11, 11, 11), (1, 9, 1, 9, 2, 8))
(-769032.2211552212, (11, 11, 11), (1, 9, 2, 8, 1, 9))
(-769032.2211552212, (11, 11, 11), (2, 8, 1, 9, 1, 9))
(-694074.8053309608, (11, 11, 11), (1, 9, 1, 9, 3, 7))
(-694074.8053309608, (11, 11, 11), (1, 9, 3, 7, 1, 9))
(-694074.8053309608, (11, 11, 11), (3, 7, 1, 9, 1, 9))
(-658987.1714317412, (11, 11, 11), (1, 9, 4, 6, 1, 9))
(-658987.1714317412, (11, 11, 11), (4, 6, 1, 9, 1, 9))
(-658987.1714317411, (11, 11, 11), (1, 9, 1, 9, 4, 6))
(-648753.0461130668, (11, 11, 11), (1, 9, 5, 5, 1, 9))
(-648753.0461130668, (11, 11, 11), (5, 5, 1, 9, 1, 9))
(-648753.0461130667, (11, 11, 11), (1, 9, 1, 9, 5, 5))
(-645641.1784866753, (11, 11, 11), (1, 9, 2, 8, 2, 8))
(-645641.1784866753, (11, 11, 11), (2, 8, 1, 9, 2, 8))
(-645641.1784866753, (11, 11, 11), (2, 8, 2, 8, 1, 9))
(-631962.8651883557, (11, 11, 10), (1, 9, 1, 9, 0, 9))
(-631962.8651883556, (10, 11, 11), (0, 9, 1, 9, 1, 9))
(-631962.8651883556, (11, 10, 11), (1, 9, 0, 9, 1, 9))
(-582708.6304547997, (11, 11, 11), (1, 9, 2, 8, 3, 7))
(-582708.6304547997, (11, 11, 11), (1, 9, 3, 7, 2, 8))
(-582708.6304547997, (11, 11, 11), (2, 8, 1, 9, 3, 7))
(-582708.6304547997, (11, 11, 11), (2, 8, 3, 7, 1, 9))
(-582708.6304547997, (11, 11, 11), (3, 7, 1, 9, 2, 8))
(-582708.6304547996, (11, 11, 11), (3, 7, 2, 8, 1, 9))
(-553247.6525532884, (11, 11, 11), (1, 9, 4, 6, 2, 8))
(-553247.6525532884, (11, 11, 11), (4, 6, 1, 9, 2, 8))
(-553247.6525532883, (11, 11, 11), (1, 9, 2, 8, 4, 6))
(-553247.6525532883, (11, 11, 11), (2, 8, 1, 9, 4, 6))
(-553247.6525532883, (11, 11, 11), (2, 8, 4, 6, 1, 9))
(-553247.6525532883, (11, 11, 11), (4, 6, 2, 8, 1, 9))
(-544654.7241487908, (11, 11, 11), (1, 9, 2, 8, 5, 5))
(-544654.7241487908, (11, 11, 11), (1, 9, 5, 5, 2, 8))
(-544654.7241487908, (11, 11, 11), (2, 8, 1, 9, 5, 5))
(-544654.7241487908, (11, 11, 11), (2, 8, 5, 5, 1, 9))
(-544654.7241487908, (11, 11, 11), (5, 5, 1, 9, 2, 8))
(-544654.7241487908, (11, 11, 11), (5, 5, 2, 8, 1, 9))
(-542057.4136128568, (11, 11, 11), (2, 8, 2, 8, 2, 8))
(-530603.3957859512, (11, 10, 11), (1, 9, 0, 9, 2, 8))
(-530603.3957859512, (11, 11, 10), (1, 9, 2, 8, 0, 9))
(-530603.3957859512, (11, 11, 10), (2, 8, 1, 9, 0, 9))
(-530603.395785951, (10, 11, 11), (0, 9, 1, 9, 2, 8))
(-530603.395785951, (10, 11, 11), (0, 9, 2, 8, 1, 9))
(-530603.395785951, (11, 10, 11), (2, 8, 0, 9, 1, 9))
(-525910.072100835, (11, 11, 11), (1, 9, 3, 7, 3, 7))
(-525910.0721008349, (11, 11, 11), (3, 7, 1, 9, 3, 7))
(-525910.0721008349, (11, 11, 11), (3, 7, 3, 7, 1, 9))
(-499320.9890617742, (11, 11, 11), (3, 7, 4, 6, 1, 9))
(-499320.9890617742, (11, 11, 11), (4, 6, 1, 9, 3, 7))
(-499320.98906177416, (11, 11, 11), (1, 9, 3, 7, 4, 6))
(-499320.98906177416, (11, 11, 11), (1, 9, 4, 6, 3, 7))
(-499320.98906177416, (11, 11, 11), (4, 6, 3, 7, 1, 9))
(-499320.9890617741, (11, 11, 11), (3, 7, 1, 9, 4, 6))
(-491566.0681897544, (11, 11, 11), (1, 9, 3, 7, 5, 5))
(-491566.0681897544, (11, 11, 11), (1, 9, 5, 5, 3, 7))
(-491566.0681897544, (11, 11, 11), (3, 7, 1, 9, 5, 5))
(-491566.0681897544, (11, 11, 11), (3, 7, 5, 5, 1, 9))
(-491566.0681897544, (11, 11, 11), (5, 5, 1, 9, 3, 7))
(-491566.0681897544, (11, 11, 11), (5, 5, 3, 7, 1, 9))
(-489219.46215655946, (11, 11, 11), (2, 8, 2, 8, 3, 7))
(-489219.46215655946, (11, 11, 11), (2, 8, 3, 7, 2, 8))
(-489219.46215655946, (11, 11, 11), (3, 7, 2, 8, 2, 8))
(-484180.03877556016, (10, 11, 11), (1, 8, 1, 9, 1, 9))
(-484180.03877556016, (11, 10, 11), (1, 9, 1, 8, 1, 9))
(-484180.03877556016, (11, 11, 10), (1, 9, 1, 9, 1, 8))
(-478881.2033577199, (11, 11, 10), (1, 9, 3, 7, 0, 9))
(-478881.2033577199, (11, 11, 10), (3, 7, 1, 9, 0, 9))
(-478881.2033577198, (10, 11, 11), (0, 9, 1, 9, 3, 7))
(-478881.2033577198, (11, 10, 11), (1, 9, 0, 9, 3, 7))
(-478881.20335771976, (10, 11, 11), (0, 9, 3, 7, 1, 9))
(-478881.20335771976, (11, 10, 11), (3, 7, 0, 9, 1, 9))
(-474077.24723539373, (11, 11, 11), (1, 9, 4, 6, 4, 6))
(-474077.24723539373, (11, 11, 11), (4, 6, 1, 9, 4, 6))
(-474077.24723539373, (11, 11, 11), (4, 6, 4, 6, 1, 9))
(-466715.0167791699, (11, 11, 11), (1, 9, 4, 6, 5, 5))
(-466715.0167791699, (11, 11, 11), (1, 9, 5, 5, 4, 6))
(-466715.0167791699, (11, 11, 11), (4, 6, 1, 9, 5, 5))
(-466715.0167791699, (11, 11, 11), (4, 6, 5, 5, 1, 9))
(-466715.0167791699, (11, 11, 11), (5, 5, 1, 9, 4, 6))
(-466715.0167791699, (11, 11, 11), (5, 5, 4, 6, 1, 9))
(-464482.45461799315, (11, 11, 11), (2, 8, 2, 8, 4, 6))
(-464482.45461799315, (11, 11, 11), (4, 6, 2, 8, 2, 8))
(-464482.4546179931, (11, 11, 11), (2, 8, 4, 6, 2, 8))
(-459467.42958735285, (11, 11, 11), (5, 5, 5, 5, 1, 9))
(-459467.4295873528, (11, 11, 11), (1, 9, 5, 5, 5, 5))
(-459467.4295873528, (11, 11, 11), (5, 5, 1, 9, 5, 5))
(-457267.50197473576, (11, 11, 11), (2, 8, 2, 8, 5, 5))
(-457267.5019747357, (11, 11, 11), (2, 8, 5, 5, 2, 8))
(-457267.5019747357, (11, 11, 11), (5, 5, 2, 8, 2, 8))
(-454658.9914804892, (11, 11, 10), (4, 6, 1, 9, 0, 9))
